"document","annotation__start","annotation__end","annotation__label","annotation__text"
"","834","913","CONNECTION","bedroom1, bedroom2, bedroom3, kitchen1, washroom1 and livingroom1 are connected"
"","915","944","CONNECTION","bedroom1 is next to washroom1"
"","946","992","CONNECTION","kitchen1, washroom1 and bedroom3 are connected"
"House has two washrooms, one livingroom, one closet, one bedroom, one kitchen, and two balconys. In practice, wall of washroom1 is Mosaic and Gray, and uses Black Jade for floor. washroom1 covers 4 square meters located in southeast. Additionally, washroom2 covers 2 square meters located in south. floor of washroom2 is Wood_Grain and Green while wall is Wood_Veneer and Red. In addition, floor of livingroom1 is Granite and Blue as well as wall is Black Ceramic_Tile. livingroom1 is in center with 36 square meters. closet1 floor is White Cement_Board while wall is Stone_Brick and Green. closet1 covers 6 square meters located in center. Besides, wall of bedroom1 is Pure_Color_Wood and White, and floor is Ceramics and Green. bedroom1 has 11 squares in east. Additionally, kitchen1 uses Purple Marble for floor as well as wall is Rock_Plate and Gray. kitchen1 has 13 squares in east. wall of balcony1 is Ceramic_Tile and Gray while has Black Wood_Veneer floor. balcony1 has 10 squares in west. Moreover, balcony2 has Earth_color Ceramic_Tile floor, and wall is Ceramics and Earth_color. balcony2 has 2 squares in southeast. livingroom1 is adjacent to kitchen1, balcony1, closet1, washroom2. kitchen1 is next to bedroom1, closet1, washroom1, balcony2, washroom2. closet1 and bedroom1 are connected. washroom1 is adjacent to balcony2, washroom2. ","10","13","QUANT","two"
"","14","23","ROOM","washrooms"
"","25","28","QUANT","one"
"","29","39","ROOM","livingroom"
"","41","44","QUANT","one"
"","45","51","ROOM","closet"
"","53","56","QUANT","one"
"","57","65","ROOM","bedroom,"
"","66","69","QUANT","one"
"","70","82","ROOM","kitchen, and"
"","83","86","QUANT","two"
"","87","95","ROOM","balconys"
"","118","127","ROOM","washroom1"
"","196","211","DIMENSION","4 square meters"
"","223","232","DIRECTION","southeast"
"","248","257","ROOM","washroom2"
"","265","280","DIMENSION","2 square meters"
"","292","297","DIRECTION","south"
"","399","410","ROOM","livingroom1"
"","500","516","DIMENSION","36 square meters"
"","518","525","ROOM","closet1"
"","606","621","DIMENSION","6 square meters"
"","658","666","ROOM","bedroom1"
"","743","753","DIMENSION","11 squares"
"","757","761","DIRECTION","east"
"","868","878","DIMENSION","13 squares"
"","882","886","DIRECTION","east"
"","896","904","ROOM","balcony1"
"","965","973","ROOM","balcony1"
"","978","988","DIMENSION","10 squares"
"","992","996","DIRECTION","west"
"","1008","1016","ROOM","balcony2"
"","1104","1113","DIMENSION","2 squares"
"","1117","1126","DIRECTION","southeast"
"","1128","1193","CONNECTION","livingroom1 is adjacent to kitchen1, balcony1, closet1, washroom2"
"","1195","1264","CONNECTION","kitchen1 is next to bedroom1, closet1, washroom1, balcony2, washroom2"
"","1266","1300","CONNECTION","closet1 and bedroom1 are connected"
"","1302","1346","CONNECTION","washroom1 is adjacent to balcony2, washroom2"
"The house plan has one washroom, two bedrooms, one livingroom, and one balcony. Specifically, washroom1 is in west with 4 square meters. wall of washroom1 is Wood_Grain and Blue as well as has Pink Wood_Grain floor. Moreover, bedroom1 has Yellow Rock_Plate floor while wall is Marble and Purple. bedroom1 covers 18 square meters located in east. bedroom2 has 8 squares in center. bedroom2 wall is Green Pure_Color_Wood, and floor is Earth_color Quartz. In addition, livingroom1 uses Earth_color Wall_Cloth for floor while has White Stone_Brick wall. livingroom1 covers 24 square meters located in west. Moreover, balcony1 has 4 squares in center. balcony1 uses Purple Wood_Grain for floor as well as wall is Ceramic_Tile and Green. livingroom1 is adjacent to bedroom1, bedroom2, washroom1, balcony1. bedroom1 is next to bedroom2. ","19","22","QUANT","one"
"","23","31","ROOM","washroom"
"","33","36","QUANT","two"
"","37","45","ROOM","bedrooms"
"","47","50","QUANT","one"
"","51","61","ROOM","livingroom"
"","67","70","QUANT","one"
"","71","78","ROOM","balcony"
"","94","103","ROOM","washroom1"
"","110","114","DIRECTION","west"
"","120","135","DIMENSION","4 square meters"
"","145","154","ROOM","washroom1"
"","226","234","ROOM","bedroom1"
"","312","328","DIMENSION","18 square meters"
"","340","344","DIRECTION","east"
"","346","354","ROOM","bedroom2"
"","359","368","DIMENSION","8 squares"
"","466","477","ROOM","livingroom1"
"","569","585","DIMENSION","24 square meters"
"","597","601","DIRECTION","west"
"","613","621","ROOM","balcony1"
"","626","635","DIMENSION","4 squares"
"","647","655","ROOM","balcony1"
"","732","798","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, washroom1, balcony1"
"","800","828","CONNECTION","bedroom1 is next to bedroom2"
"The house plan has one washroom, one livingroom, one closet, and three bedrooms. Specifically, washroom1 has 4 squares in south. washroom1 floor is Pink Wallpaper as well as wall is Blue Bamboo_Vine. livingroom1 covers 37 square meters located in center. wall of livingroom1 is Pure_Color_Wood and Yellow, and has Gray Cement_Board floor. Moreover, closet1 covers 3 square meters located in east. wall of closet1 is Ceramic_Tile and Earth_color while uses Purple Ceramics for floor. bedroom1 has Yellow Jade wall, and has Gray Wood_Grain floor. bedroom1 is in northwest with 13 square meters. Besides, bedroom2 has 12 squares in east. bedroom2 uses Green Painted_Wood for floor while has Purple Ceramic_Tile wall. Additionally, floor of bedroom3 is Marble and Pink as well as has Pink Marble wall. bedroom3 is in southeast with 10 square meters. livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, washroom1. bedroom2 is next to bedroom3, closet1. bedroom3 is adjacent to washroom1, closet1. ","19","22","QUANT","one"
"","23","31","ROOM","washroom"
"","33","36","QUANT","one"
"","37","47","ROOM","livingroom"
"","49","52","QUANT","one"
"","53","59","ROOM","closet"
"","65","70","QUANT","three"
"","71","79","ROOM","bedrooms"
"","95","104","ROOM","washroom1"
"","109","118","DIMENSION","4 squares"
"","122","127","DIRECTION","south"
"","200","211","ROOM","livingroom1"
"","219","235","DIMENSION","37 square meters"
"","349","356","ROOM","closet1"
"","364","379","DIMENSION","3 square meters"
"","391","395","DIRECTION","east"
"","483","491","ROOM","bedroom1"
"","560","569","DIRECTION","northwest"
"","575","591","DIMENSION","13 square meters"
"","602","610","ROOM","bedroom2"
"","615","625","DIMENSION","12 squares"
"","629","633","DIRECTION","east"
"","737","745","ROOM","bedroom3"
"","813","822","DIRECTION","southeast"
"","828","844","DIRECTION","10 square meters"
"","846","912","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, washroom1"
"","914","951","CONNECTION","bedroom2 is next to bedroom3, closet1"
"","953","995","CONNECTION","bedroom3 is adjacent to washroom1, closet1"
"The building contains two bedrooms, one washroom, one balcony, one livingroom, and one kitchen. Specifically, bedroom1 has 13 squares in west. wall of bedroom1 is Painted_Wood and Green as well as floor is Black Jade. floor of bedroom2 is Granite and Red while wall is Earth_color Ceramic_Tile. bedroom2 covers 8 square meters located in center. floor of washroom1 is Marble and Earth_color, and wall is Mosaic and Black. washroom1 is in west with 4 square meters. balcony1 uses Green Bamboo_Vine for floor as well as wall is Pure_Color_Wood and Orange. balcony1 is in north with 4 square meters. livingroom1 is in southeast with 21 square meters. livingroom1 has Black Wall_Cloth wall, and has Purple Painted_Wood floor. floor of kitchen1 is Painted_Wood and Gray while wall is Ceramic_Tile and Pink. kitchen1 has 6 squares in southwest. bedroom1, bedroom2, kitchen1, washroom1 and livingroom1 are connected. bedroom1 is next to bedroom2, washroom1, balcony1. balcony1 and bedroom2 are connected. kitchen1 is next to washroom1. ","22","25","QUANT","two"
"","26","34","ROOM","bedrooms"
"","36","39","QUANT","one"
"","40","48","ROOM","washroom"
"","50","53","QUANT","one"
"","54","61","ROOM","balcony"
"","63","66","QUANT","one"
"","67","77","ROOM","livingroom"
"","83","86","QUANT","one"
"","87","94","ROOM","kitchen"
"","123","133","DIMENSION","13 squares"
"","137","141","DIRECTION","west"
"","151","159","ROOM","bedroom1"
"","227","235","ROOM","bedroom2"
"","311","319","DIMENSION","8 square"
"","355","364","ROOM","washroom1"
"","438","442","DIRECTION","west"
"","448","463","DIMENSION","4 square meters"
"","465","473","ROOM","balcony1"
"","569","574","DIRECTION","north"
"","580","595","DIMENSION","4 square meters"
"","597","608","ROOM","livingroom1"
"","615","624","DIRECTION","southeast"
"","630","646","DIMENSION","21 square meters"
"","648","659","ROOM","livingroom1"
"","731","739","ROOM","kitchen1"
"","815","824","DIMENSION","6 squares"
"","828","837","DIRECTION","southwest"
"","839","908","CONNECTION","bedroom1, bedroom2, kitchen1, washroom1 and livingroom1 are connected"
"","910","959","CONNECTION","bedroom1 is next to bedroom2, washroom1, balcony1"
"","961","996","CONNECTION","balcony1 and bedroom2 are connected"
"","998","1027","CONNECTION","kitchen1 is next to washroom1"
"Building layout contains two washrooms, one livingroom, one closet, three bedrooms, one kitchen, and two balconys. Specifically, washroom1 covers 4 square meters located in west. wall of washroom1 is Bamboo_Vine and Orange as well as floor is White Ceramics. washroom2 is in north with 3 square meters. washroom2 has Black Wallpaper wall while floor is Green Ceramic_Tile. Additionally, livingroom1 covers 32 square meters located in east. floor of livingroom1 is Stone_Brick and Red, and wall is Ceramic_Tile and Wood_color. closet1 floor is White Quartz while wall is Green Coating. closet1 has 8 squares in northeast. Moreover, bedroom1 is in southwest with 14 square meters. wall of bedroom1 is Mosaic and Pink, and has Earth_color Coating floor. Additionally, bedroom2 covers 8 square meters located in south. bedroom2 has Earth_color Coating floor as well as wall is Blue Pure_Color_Wood. bedroom3 uses Yellow Stone_Brick for floor, and wall is Blue Coating. bedroom3 has 7 squares in northwest. Besides, kitchen1 covers 6 square meters located in center. kitchen1 uses Gray Rock_Plate for floor as well as wall is White Marble. Additionally, balcony1 has Earth_color Bamboo_Vine floor while has Green Pure_Color_Wood wall. balcony1 covers 5 square meters located in southeast. balcony2 has Yellow Painted_Wood wall as well as uses Red Wall_Cloth for floor. balcony2 covers 4 square meters located in north. livingroom1 is adjacent to bedroom1, bedroom2, closet1, bedroom3, kitchen1, balcony1, washroom1, washroom2. bedroom1 is next to bedroom2, washroom1. closet1 is adjacent to kitchen1, balcony2. washroom2 and bedroom3 are connected. kitchen1 is next to balcony2, washroom2. washroom2 and balcony2 are connected. ","25","28","QUANT","two"
"","29","38","ROOM","washrooms"
"","40","43","QUANT","one"
"","44","54","ROOM","livingroom"
"","56","59","QUANT","one"
"","60","66","ROOM","closet"
"","68","73","QUANT","three"
"","74","82","ROOM","bedrooms"
"","84","87","QUANT","one"
"","88","95","ROOM","kitchen"
"","101","104","QUANT","two"
"","105","113","ROOM","balconys"
"","129","138","ROOM","washroom1"
"","146","161","DIMENSION","4 square meters"
"","173","177","DIRECTION","west"
"","259","268","ROOM","washroom2"
"","275","280","DIRECTION","north"
"","286","301","DIMENSION","3 square meters"
"","387","398","ROOM","livingroom1"
"","406","422","DIMENSION","32 square meters"
"","434","438","DIRECTION","east"
"","526","533","ROOM","closet1"
"","585","592","ROOM","closet1"
"","597","606","DIMENSION","8 squares"
"","610","619","DIRECTION","northeast"
"","631","639","ROOM","bedroom1"
"","646","655","DIRECTION","southwest"
"","661","677","DIMENSION","14 square meters"
"","687","695","ROOM","bedroom1"
"","765","773","ROOM","bedroom2"
"","781","796","DIMENSION","8 square meters"
"","808","813","DIRECTION","south"
"","895","903","ROOM","bedroom3"
"","965","973","ROOM","bedroom3"
"","978","987","DIMENSION","7 squares"
"","991","1000","DIRECTION","northwest"
"","1011","1019","ROOM","kitchen1"
"","1027","1042","DIMENSION","6 square meters"
"","1062","1070","ROOM","kitchen1"
"","1149","1157","ROOM","balcony1"
"","1246","1261","DIMENSION","5 square meters"
"","1273","1282","DIRECTION","southeast"
"","1284","1292","ROOM","balcony2"
"","1380","1395","DIMENSION","4 square meters"
"","1407","1412","DIRECTION","north"
"","1414","1520","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, closet1, bedroom3, kitchen1, balcony1, washroom1, washroom2"
"","1522","1561","CONNECTION","bedroom1 is next to bedroom2, washroom1"
"","1563","1604","CONNECTION","closet1 is adjacent to kitchen1, balcony2"
"","1606","1642","CONNECTION","washroom2 and bedroom3 are connected"
"","1644","1683","CONNECTION","kitchen1 is next to balcony2, washroom2"
"","1685","1721","CONNECTION","washroom2 and balcony2 are connected"
"House has two bedrooms, one washroom, one balcony, one livingroom, and one kitchen. Specifically, floor of bedroom1 is Bamboo_Vine and Gray, and has Wood_color Wall_Cloth wall. bedroom1 is in center with 12 square meters. bedroom2 wall is Orange Jade as well as has Black Pure_Color_Wood floor. bedroom2 covers 10 square meters located in northwest. In addition, washroom1 wall is Wood_color Painted_Wood, and uses Pink Coating for floor. washroom1 is in north with 4 square meters. wall of balcony1 is Ceramics and Purple while has Wood_color Ceramic_Tile floor. balcony1 covers 6 square meters located in southeast. Moreover, livingroom1 wall is Purple Rock_Plate, and floor is Rock_Plate and Green. livingroom1 has 31 squares in east. Besides, kitchen1 wall is Purple Mosaic as well as floor is Wood_Veneer and Purple. kitchen1 has 6 squares in center. livingroom1 is adjacent to bedroom1, bedroom2, balcony1, kitchen1, washroom1. bedroom1 is next to kitchen1. bedroom2 is adjacent to kitchen1, washroom1. ","10","13","QUANT","two"
"","24","27","QUANT","one"
"","38","41","QUANT","one"
"","51","54","QUANT","one"
"","71","74","QUANT","one"
"","107","115","ROOM","bedroom1"
"","116","118","ROOM","is"
"","186","188","ROOM","is"
"","204","220","DIMENSION","12 square meters"
"","222","230","ROOM","bedroom2"
"","236","238","ROOM","is"
"","311","327","DIMENSION","10 square meters"
"","339","348","DIRECTION","northwest"
"","363","372","ROOM","washroom1"
"","378","380","ROOM","is"
"","449","451","ROOM","is"
"","455","460","DIRECTION","north"
"","466","481","DIMENSION","4 square meters"
"","491","499","ROOM","balcony1"
"","500","502","ROOM","is"
"","580","595","DIMENSION","6 square meters"
"","607","616","DIRECTION","southeast"
"","628","639","ROOM","livingroom1"
"","718","728","DIMENSION","31 squares"
"","732","736","ROOM","east"
"","747","755","ROOM","kitchen1"
"","835","844","DIMENSION","6 squares"
"","856","932","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, balcony1, kitchen1, washroom1"
"","934","962","CONNECTION","bedroom1 is next to kitchen1"
"","964","1007","CONNECTION","bedroom2 is adjacent to kitchen1, washroom1"
"The house plan has two washrooms, one livingroom, one study, two bedrooms, one kitchen, and one balcony. In practice, washroom1 wall is Purple Wall_Cloth as well as floor is Red Mosaic. washroom1 is in northeast with 5 square meters. washroom2 covers 3 square meters located in north. washroom2 has Yellow Granite wall, and floor is Marble and Orange. Moreover, livingroom1 has 51 squares in center. wall of livingroom1 is Mosaic and Pink while floor is Coating and Blue. Besides, study1 has White Cement_Board wall as well as uses Orange Coating for floor. study1 has 9 squares in east. In addition, floor of bedroom1 is Wood_Grain and Purple while has Red Bamboo_Vine wall. bedroom1 has 19 squares in east. Moreover, floor of bedroom2 is Coating and Earth_color as well as wall is Painted_Wood and Gray. bedroom2 has 16 squares in southeast. Additionally, kitchen1 uses Pink Wallpaper for floor, and wall is Gray Wood_Veneer. kitchen1 has 10 squares in southwest. wall of balcony1 is Jade and Blue while has Yellow Stone_Brick floor. balcony1 has 3 squares in west. bedroom1, bedroom2, kitchen1, study1, washroom1, washroom2 and livingroom1 are connected. bedroom1 is adjacent to study1, washroom1. bedroom2 is next to study1. kitchen1 is adjacent to balcony1. washroom1 is next to washroom2. ","19","22","QUANT","two"
"","23","32","ROOM","washrooms"
"","34","37","QUANT","one"
"","38","49","ROOM","livingroom,"
"","50","53","QUANT","one"
"","54","59","ROOM","study"
"","61","64","QUANT","two"
"","65","73","ROOM","bedrooms"
"","75","78","QUANT","one"
"","79","86","ROOM","kitchen"
"","92","95","QUANT","one"
"","96","103","ROOM","balcony"
"","118","127","ROOM","washroom1"
"","202","211","DIRECTION","northeast"
"","217","232","DIMENSION","5 square meters"
"","234","243","ROOM","washroom2"
"","251","266","DIMENSION","3 square meters"
"","278","283","DIRECTION","north"
"","362","373","ROOM","livingroom1"
"","378","388","DIMENSION","51 squares"
"","481","487","ROOM","study1"
"","569","578","DIMENSION","9 squares"
"","582","586","DIRECTION","east"
"","610","618","ROOM","bedroom1"
"","689","699","DIMENSION","19 squares"
"","703","707","DIRECTION","east"
"","728","736","ROOM","bedroom2"
"","819","829","DIMENSION","16 squares"
"","833","842","DIRECTION","southeast"
"","858","866","ROOM","kitchen1"
"","941","951","DIMENSION","10 squares"
"","955","964","DIRECTION","southwest"
"","974","982","ROOM","balcony1"
"","1049","1058","DIMENSION","3 squares"
"","1062","1066","DIRECTION","west"
"","1068","1156","CONNECTION","bedroom1, bedroom2, kitchen1, study1, washroom1, washroom2 and livingroom1 are connected"
"","1158","1199","CONNECTION","bedroom1 is adjacent to study1, washroom1"
"","1201","1227","CONNECTION","bedroom2 is next to study1"
"","1229","1261","CONNECTION","kitchen1 is adjacent to balcony1"
"","1263","1293","CONNECTION","washroom1 is next to washroom2"
"The house plan has two bedrooms, one washroom, one balcony, one livingroom, and one kitchen. In practice, bedroom1 is in north with 17 square meters. bedroom1 has Wood_color Wallpaper wall, and floor is Wood_Grain and Purple. bedroom2 uses Gray Stone_Brick for floor while wall is Ceramic_Tile and Orange. bedroom2 has 9 squares in west. washroom1 has Orange Rock_Plate wall, and floor is Ceramics and Wood_color. washroom1 covers 6 square meters located in south. Moreover, balcony1 is in north with 8 square meters. balcony1 uses Red Stone_Brick for floor as well as wall is Rock_Plate and Black. livingroom1 wall is Black Pure_Color_Wood, and floor is Quartz and Blue. livingroom1 covers 38 square meters located in center. Besides, kitchen1 has 8 squares in south. wall of kitchen1 is Mosaic and Red while uses Red Ceramics for floor. livingroom1 is adjacent to bedroom1, bedroom2, kitchen1, balcony1, washroom1. bedroom1 is next to bedroom2, balcony1. bedroom2 is adjacent to washroom1. kitchen1 is next to washroom1. ","19","22","QUANT","two"
"","23","31","ROOM","bedrooms"
"","33","36","QUANT","one"
"","37","45","ROOM","washroom"
"","47","50","QUANT","one"
"","51","59","ROOM","balcony,"
"","60","63","QUANT","one"
"","64","74","ROOM","livingroom"
"","80","83","QUANT","one"
"","84","92","ROOM","kitchen."
"","106","114","ROOM","bedroom1"
"","121","126","DIRECTION","north"
"","132","148","DIMENSION","17 square meters"
"","150","158","ROOM","bedroom1"
"","226","234","ROOM","bedroom2"
"","319","328","DIMENSION","9 squares"
"","332","336","DIRECTION","west"
"","338","347","ROOM","washroom1"
"","414","423","ROOM","washroom1"
"","431","446","DIMENSION","6 square meters"
"","458","463","DIRECTION","south"
"","475","483","ROOM","balcony1"
"","490","495","DIRECTION","north"
"","501","516","DIMENSION","8 square meters"
"","518","526","ROOM","balcony1"
"","599","610","ROOM","livingroom1"
"","691","707","DIMENSION","38 square meters"
"","736","744","ROOM","kitchen1"
"","749","758","DIMENSION","8 squares"
"","762","767","DIRECTION","south"
"","839","955","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, kitchen1, balcony1, washroom1. bedroom1 is next to bedroom2, balcony1"
"","957","990","CONNECTION","bedroom2 is adjacent to washroom1"
"","992","1021","CONNECTION","kitchen1 is next to washroom1"
"The building contains two washrooms, one livingroom, one study, three bedrooms, one kitchen, and two balconys. More specifically, washroom1 has 5 squares in west. floor of washroom1 is Mosaic and Red as well as has Earth_color Wallpaper wall. washroom2 wall is Gray Cement_Board while floor is Stone_Brick and Pink. washroom2 has 4 squares in north. livingroom1 uses Gray Bamboo_Vine for floor as well as wall is Ceramic_Tile and Gray. livingroom1 has 48 squares in east. Moreover, study1 has Earth_color Wallpaper floor while wall is Mosaic and Yellow. study1 has 9 squares in west. Besides, bedroom1 has Purple Quartz wall, and floor is Quartz and Green. bedroom1 is in southwest with 21 square meters. bedroom2 has 16 squares in south. bedroom2 floor is Purple Mosaic as well as wall is Purple Jade. Additionally, bedroom3 covers 11 square meters located in northwest. bedroom3 floor is Green Cement_Board while has Orange Wallpaper wall. kitchen1 has 7 squares in north. kitchen1 wall is Green Rock_Plate as well as has Yellow Ceramic_Tile floor. balcony1 is in southeast with 8 square meters. balcony1 floor is Purple Ceramics while has White Wallpaper wall. balcony2 uses Purple Granite for floor as well as has Green Bamboo_Vine wall. balcony2 has 6 squares in northeast. bedroom1, bedroom2, bedroom3, study1, balcony1, kitchen1, balcony2, washroom2 and livingroom1 are connected. bedroom1 is adjacent to bedroom2, washroom1. study1, washroom2 and bedroom3 are connected. study1 is adjacent to washroom1. washroom2 and kitchen1 are connected. ","22","25","QUANT","two"
"","26","35","ROOM","washrooms"
"","37","40","QUANT","one"
"","41","51","ROOM","livingroom"
"","53","56","QUANT","one"
"","57","62","ROOM","study"
"","64","69","QUANT","three"
"","70","78","ROOM","bedrooms"
"","80","83","QUANT","one"
"","84","96","ROOM","kitchen, and"
"","97","100","QUANT","two"
"","101","109","ROOM","balconys"
"","130","139","ROOM","washroom1"
"","144","153","DIMENSION","5 squares"
"","157","161","DIRECTION","west"
"","172","181","ROOM","washroom1"
"","243","252","ROOM","washroom2"
"","330","339","DIMENSION","4 squares"
"","343","348","DIRECTION","north"
"","350","361","ROOM","livingroom1"
"","452","462","DIMENSION","48 squares"
"","466","470","DIRECTION","east"
"","482","488","ROOM","study1"
"","554","560","ROOM","study1"
"","565","574","DIMENSION","9 squares"
"","578","582","DIRECTION","west"
"","593","601","ROOM","bedroom1"
"","672","681","DIRECTION","southwest"
"","687","703","DIMENSION","21 square meters"
"","705","713","ROOM","bedroom2"
"","718","728","DIMENSION","16 squares"
"","732","737","DIRECTION","south"
"","817","825","ROOM","bedroom3"
"","833","849","DIMENSION","11 square meters"
"","861","870","DIRECTION","northwest"
"","872","880","ROOM","bedroom3"
"","942","950","ROOM","kitchen1"
"","955","964","DIMENSION","7 squares"
"","968","973","DIRECTION","north"
"","975","983","ROOM","kitchen1"
"","1051","1059","ROOM","balcony1"
"","1066","1075","DIRECTION","southeast"
"","1081","1096","DIMENSION","8 square meters"
"","1098","1106","ROOM","balcony1"
"","1164","1172","ROOM","balcony2"
"","1255","1264","DIMENSION","6 squares"
"","1268","1277","DIRECTION","northeast"
"","1279","1386","CONNECTION","bedroom1, bedroom2, bedroom3, study1, balcony1, kitchen1, balcony2, washroom2 and livingroom1 are connected"
"","1388","1431","CONNECTION","bedroom1 is adjacent to bedroom2, washroom1"
"","1433","1477","CONNECTION","study1, washroom2 and bedroom3 are connected"
"","1479","1510","CONNECTION","study1 is adjacent to washroom1"
"","1512","1548","CONNECTION","washroom2 and kitchen1 are connected"
"Building layout contains one washroom, two bedrooms, one livingroom, and one kitchen. More specifically, washroom1 has 3 squares in northeast. washroom1 floor is Earth_color Cement_Board, and wall is Gray Pure_Color_Wood. bedroom1 is in southwest with 6 square meters. wall of bedroom1 is Jade and Orange while floor is Quartz and Yellow. bedroom2 covers 5 square meters located in west. bedroom2 wall is Black Wood_Grain, and uses Blue Painted_Wood for floor. livingroom1 covers 19 square meters located in center. livingroom1 wall is Orange Cement_Board while floor is Wallpaper and Wood_color. Moreover, floor of kitchen1 is Jade and Yellow, and wall is Wallpaper and Purple. kitchen1 has 3 squares in northeast. livingroom1 is adjacent to bedroom1, bedroom2, kitchen1, washroom1. bedroom2 and bedroom1 are connected. kitchen1 is adjacent to washroom1. ","25","28","QUANT","one"
"","29","37","ROOM","washroom"
"","39","42","QUANT","two"
"","43","51","ROOM","bedrooms"
"","53","56","QUANT","one"
"","57","67","ROOM","livingroom"
"","73","76","QUANT","one"
"","77","84","ROOM","kitchen"
"","105","114","ROOM","washroom1"
"","119","128","DIMENSION","3 squares"
"","132","141","DIRECTION","northeast"
"","222","230","ROOM","bedroom1"
"","237","246","DIRECTION","southwest"
"","252","267","DIMENSION","6 square meters"
"","339","347","ROOM","bedroom2"
"","355","370","DIMENSION","5 square meters"
"","382","386","DIRECTION","west"
"","461","472","ROOM","livingroom1"
"","480","496","DIMENSION","19 square meters"
"","516","527","ROOM","livingroom1"
"","616","624","ROOM","kitchen1"
"","692","701","DIMENSION","3 squares"
"","705","714","DIRECTION","northeast"
"","716","782","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, kitchen1, washroom1"
"","784","819","CONNECTION","bedroom2 and bedroom1 are connected"
"","821","854","CONNECTION","kitchen1 is adjacent to washroom1"
"House has three bedrooms, one washroom, one balcony, one livingroom, and one kitchen. Specifically, floor of bedroom1 is Rock_Plate and Green, and has Wood_color Painted_Wood wall. bedroom1 has 12 squares in north. bedroom2 has 10 squares in southwest. bedroom2 has Earth_color Wall_Cloth floor while wall is White Wall_Cloth. bedroom3 covers 8 square meters located in west. bedroom3 has Purple Ceramics wall as well as floor is Marble and White. washroom1 wall is White Granite while floor is Granite and Green. washroom1 is in south with 3 square meters. In addition, balcony1 has 6 squares in northeast. balcony1 wall is Red Wall_Cloth as well as has White Coating floor. Besides, livingroom1 has 32 squares in east. livingroom1 uses Gray Cement_Board for floor while has Orange Pure_Color_Wood wall. floor of kitchen1 is Granite and Earth_color, and wall is Earth_color Mosaic. kitchen1 has 7 squares in south. livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, kitchen1, balcony1, washroom1. bedroom3, balcony1 and bedroom1 are connected. bedroom2 is adjacent to bedroom3, washroom1. washroom1 and kitchen1 are connected. ","10","15","QUANT","three"
"","16","24","ROOM","bedrooms"
"","26","29","QUANT","one"
"","30","38","ROOM","washroom"
"","40","43","QUANT","one"
"","44","51","ROOM","balcony"
"","53","56","QUANT","one"
"","57","67","ROOM","livingroom"
"","73","76","QUANT","one"
"","77","84","ROOM","kitchen"
"","109","117","ROOM","bedroom1"
"","194","204","DIMENSION","12 squares"
"","208","213","DIRECTION","north"
"","215","223","ROOM","bedroom2"
"","228","238","DIMENSION","10 squares"
"","242","251","DIRECTION","southwest"
"","327","335","ROOM","bedroom3"
"","343","358","DIMENSION","8 square meters"
"","370","374","DIRECTION","west"
"","448","457","ROOM","washroom1"
"","514","523","ROOM","washroom1"
"","530","535","DIRECTION","south"
"","541","556","DIMENSION","3 square meters"
"","571","579","ROOM","balcony1"
"","584","593","DIMENSION","6 squares"
"","597","606","DIRECTION","northeast"
"","608","616","ROOM","balcony1"
"","685","696","ROOM","livingroom1"
"","701","711","DIMENSION","32 squares"
"","715","719","DIRECTION","east"
"","814","822","ROOM","kitchen1"
"","883","891","ROOM","kitchen1"
"","896","905","DIMENSION","7 squares"
"","909","914","DIRECTION","south"
"","916","1002","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, kitchen1, balcony1, washroom1"
"","1004","1049","CONNECTION","bedroom3, balcony1 and bedroom1 are connected"
"","1051","1094","CONNECTION","bedroom2 is adjacent to bedroom3, washroom1"
"","1096","1132","CONNECTION","washroom1 and kitchen1 are connected"
